# mx [MeV]         event [#]
1.00000e-06     4.69115e-13
1.60372e-06     3.04237e-13
2.57191e-06     2.01334e-13
4.12463e-06     7.86130e-14
6.61474e-06     4.52324e-14
1.06082e-05     3.13271e-14
1.70125e-05     1.81004e-14
2.72833e-05     1.65844e-14
4.37548e-05     7.53991e-15
7.01704e-05     4.56364e-15
1.12534e-04     3.09190e-15
1.80472e-04     2.66039e-15
2.89427e-04     1.27657e-15
4.64159e-04     1.06205e-15
7.44380e-04     5.67776e-16
1.19378e-03     3.01746e-16
1.91448e-03     2.24936e-16
3.07029e-03     1.76055e-16
4.92388e-03     7.64006e-17
7.89652e-03     7.39958e-17
1.26638e-02     3.07408e-17
2.03092e-02     2.88323e-17
3.25702e-02     1.74634e-17
5.22335e-02     1.05161e-17
8.37678e-02     5.87700e-18
1.34340e-01     3.45406e-18
2.15443e-01     2.12654e-18
3.45511e-01     6.58947e-19
5.54102e-01     3.65253e-19
8.88624e-01     7.82038e-20
1.42510e+00     5.88121e-21
2.28546e+00     5.67382e-22
3.66524e+00     1.82243e-22
5.87802e+00     6.04294e-23
9.42668e+00     2.00152e-23
1.51178e+01     6.46817e-24
2.42446e+01     1.99923e-24
3.88816e+01     5.79206e-25
6.23551e+01     1.54386e-25
1.00000e+02     3.69862e-26
