# t [s]      flux [1/MeV/cm^2/s]
3.88699e+00     5.96584e-14
5.73033e+00     5.96897e-14
8.44784e+00     5.97004e-14
1.24541e+01     5.97377e-14
1.83602e+01     5.97702e-14
2.70673e+01     5.98606e-14
3.99035e+01     5.99468e-14
5.88270e+01     6.01279e-14
8.67248e+01     6.03417e-14
1.27853e+02     6.06997e-14
1.88485e+02     6.12408e-14
2.77870e+02     6.21123e-14
4.09646e+02     6.35717e-14
6.03914e+02     6.61829e-14
8.90310e+02     7.14297e-14
1.31252e+03     8.70512e-14
1.93497e+03     2.58109e-12
2.85259e+03     4.21467e-10
4.20539e+03     1.69658e-10
6.19973e+03     9.02332e-11
9.13985e+03     5.33382e-11
1.34743e+04     3.32846e-11
1.98642e+04     2.14004e-11
2.92845e+04     1.40655e-11
4.31722e+04     9.34282e-12
6.36459e+04     6.25408e-12
9.38289e+04     4.20480e-12
1.38326e+05     2.83867e-12
2.03924e+05     1.92546e-12
3.00632e+05     1.30804e-12
4.43202e+05     8.89060e-13
6.53383e+05     6.04219e-13
9.63240e+05     4.10689e-13
1.42004e+06     2.77750e-13
2.09347e+06     1.85771e-13
3.08627e+06     1.20834e-13
4.54988e+06     7.28389e-14
6.70758e+06     3.37630e-14
