# gV=1e-6, gx=1e-2, mV=mx/3
# t [s]   flux [1/MeV/cm^2/s]
5.27873e+03    2.55678e-10
7.39057e+03    2.55819e-10
1.03473e+04    2.55748e-10
1.44869e+04    2.55830e-10
2.02826e+04    2.55850e-10
2.83969e+04    2.56017e-10
3.97575e+04    2.56102e-10
5.56632e+04    2.56353e-10
7.79321e+04    2.56656e-10
1.09110e+05    2.57136e-10
1.52761e+05    2.57649e-10
2.13875e+05    2.58599e-10
2.99440e+05    2.59975e-10
4.19235e+05    2.62100e-10
5.86956e+05    2.65534e-10
8.21777e+05    2.71993e-10
1.15054e+06    2.85428e-10
1.61083e+06    3.26092e-10
2.25527e+06    7.05126e-10
3.15753e+06    1.08718e-07
4.42075e+06    1.05620e-07
6.18933e+06    1.05138e-07
8.66547e+06    1.05621e-07
1.21322e+07    1.07244e-07
1.69859e+07    1.10217e-07
2.37814e+07    1.14836e-07
3.32955e+07    1.21819e-07
4.66159e+07    1.31509e-07
6.52653e+07    1.42460e-07
9.13756e+07    1.47847e-07
1.27932e+08    1.30926e-07
1.79113e+08    9.01449e-08
2.50770e+08    5.34819e-08
3.51094e+08    3.07694e-08
4.91555e+08    1.77052e-08
6.88209e+08    1.03433e-08
9.63537e+08    4.88760e-09
1.34901e+09    0.00000e+00
1.88871e+09    0.00000e+00
2.64432e+09    -5.09283e-08
