# Locations and occurence times of CCSN in this MW
# 
# CCSN rate = 1.63/century
# Observational period = 1e5 years
# 
# R [kpc]    z [kpc]       phi [rad]    l [rad]       b [rad]       Rs [kpc]      Birthday [yr]
4.4201849    +0.0014113    6.0861936    -0.0673029    +0.0001097    12.8638212    5.4470038e+00
1.8090529    -0.1442484    5.9274564    -0.0617162    -0.0141200    10.2162599    1.2688549e+01
2.0707646    -0.1177705    1.6268050    +0.2417765    -0.0136375    8.6360462     1.3478938e+02
4.0060252    +0.0025025    2.7616085    +0.3013964    +0.0005000    5.0053498     1.8650692e+02
4.5775622    -0.0433607    5.2718938    -0.3410858    -0.0037387    11.5978208    3.0053211e+02
0.7355476    -0.1524560    5.9239622    -0.0281339    -0.0165838    9.1934996     4.4128879e+02
0.3136903    -0.0394364    3.2806269    -0.0053085    -0.0048155    8.1895471     4.5330151e+02
0.9476682    +0.2278879    2.2029193    +0.0959949    +0.0285611    7.9800414     6.5673935e+02
9.8639370    +0.1376188    0.6446891    +0.3471460    +0.0078983    17.4240098    8.0697647e+02
0.3499358    +0.3772911    0.3374803    +0.0131210    +0.0426977    8.8390127     9.1060019e+02
2.8160559    -1.1610880    4.1902456    -0.3313149    -0.1535198    7.5929036     9.3123982e+02
5.6545201    +0.4564152    0.9699096    +0.3794207    +0.0362291    12.6007755    1.0701057e+03
11.7475250   +0.6896996    5.0989254    -0.6996006    +0.0407929    16.9120210    1.0941917e+03
1.8219583    +0.0759779    6.2047886    -0.0138305    +0.0073640    10.3176287    1.1334009e+03
1.6574917    -0.4779762    4.8487709    -0.1860229    -0.0537832    8.8913845     1.1873190e+03
0.7217496    +0.1754576    0.6980612    +0.0511975    +0.0193535    9.0665006     1.1994291e+03
2.8232239    +1.2027681    3.0463125    +0.0471724    +0.2081060    5.8215229     1.2567720e+03
0.3385340    +0.1805822    6.1723377    -0.0042380    +0.0204330    8.8383807     1.2735957e+03
15.8463055   +0.0736449    1.2278209    +0.8234436    +0.0036197    20.3458407    1.2933564e+03
3.5104804    -0.0119205    5.8648535    -0.1212097    -0.0010107    11.7943040    1.3005331e+03
1.5936915    -0.0637210    3.0317583    +0.0252538    -0.0092105    6.9184110     1.3161858e+03
0.4516325    +0.9551943    0.0468591    +0.0023634    +0.1063095    9.0019828     1.5699966e+03
3.1196460    -0.3125018    6.1618816    -0.0325406    -0.0269266    11.6070720    1.6184112e+03
9.4157559    +0.2806760    1.3428203    +0.7120010    +0.0199905    14.0414241    1.6201375e+03
3.0308482    -0.2793433    1.9099109    +0.3644717    -0.0348233    8.0233633     1.7096705e+03
5.3567630    -0.3335246    3.1085457    +0.0561975    -0.1054500    3.1687378     1.8082740e+03
1.3390544    -0.5847749    0.4789132    +0.0636043    -0.0601635    9.7256325     1.9696931e+03
0.8518571    -0.3176908    4.8343475    -0.0979613    -0.0367316    8.6509169     1.9710952e+03
0.3248015    -1.0091747    1.0780204    +0.0330558    -0.1160311    8.7169985     2.0674143e+03
